Area Type,Area Name (County Names),Period,Series Code,Industry Title,Base Year Employment Estimate,Projected Year Employment Estimate,Numeric Change,Percentage Change
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,000001,Total Employment,1764000,1890300,126300,0.072
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,006010,Self Employment,109100,117300,7500,0.069
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,008010,Private Household Workers,1700,1600,-100,-0.059
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,11000000,Total Farm,2000,1900,-100,-0.05
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,0,Total Nonfarm,1651200,1769500,118300,0.072
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,10000000,Mining and Logging,500,400,-100,-0.2
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,20000000,Construction,106300,113000,6700,0.063
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,20236000,Construction of Buildings,22200,24200,2000,0.09
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,20237000,Heavy and Civil Engineering Construction,10200,11000,800,0.078
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,20238000,Specialty Trade Contractors,73900,77800,3900,0.053
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,30000000,Manufacturing,160700,156900,-3800,-0.024
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,31000000,Durable Goods Manufacturing,118500,117100,-1400,-0.012
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,31332000,Fabricated Metal Product Manufacturing,21900,22100,200,0.009
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,31333000,Machinery Manufacturing,9400,8600,-800,-0.085
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,31334000,Computer and Electronic Product Manufacturing,34000,32800,-1200,-0.035
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,31334400,Semiconductor and Other Electronic Component Manufacturing,13400,12100,-1300,-0.097
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,31334500,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",13500,14000,500,0.037
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,31336000,Transportation Equipment Manufacturing,15600,15800,200,0.013
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,32000000,Nondurable Goods Manufacturing,42200,39800,-2400,-0.057
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,40000000,"Trade, Transportation, and Utilities",261600,270800,9200,0.035
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,41000000,Wholesale Trade,79800,81400,1600,0.02
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,41423000,"Merchant Wholesalers, Durable Goods",48100,48500,400,0.008
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,41424000,"Merchant Wholesalers, Nondurable Goods",25800,27900,2100,0.081
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,41425000,Wholesale Electronic Markets and Agents and Brokers,5900,5000,-900,-0.153
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,42000000,Retail Trade,152600,156000,3400,0.022
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,42441000,Motor Vehicle and Parts Dealers,19000,20300,1300,0.068
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,42444000,Building Material and Garden Equipment and Supplies Dealers,11200,11700,500,0.045
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,42445000,Food and Beverage Stores,30100,32000,1900,0.063
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,42445100,Grocery Stores,27000,29200,2200,0.081
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,42446000,Health and Personal Care Stores,11900,12400,500,0.042
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,42448000,Clothing and Clothing Accessories Stores,16900,15200,-1700,-0.101
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,42451000,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",5700,4900,-800,-0.14
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,42452000,General Merchandise Stores,27500,28200,700,0.025
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,43000000,"Transportation, Warehousing, and Utilities",29200,33400,4200,0.144
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,43220000,Utilities,3000,3200,200,0.067
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,43400089,Transportation and Warehousing,26200,30200,4000,0.153
